currency_co,open_dt,agreement_amt_rub,applied_amt_rub,month_pay_rub,term_cnt,region_name,score_day,score_hour,age,born_in_russia,gender,marital,education,child_minor,reg_fact,residence_period,work_status,website,gen_property,gen_exp,pre_exp,gen_industry,salary300,income_confirmation,flat_owner,house_owner,auto_owner,garage_owner,land_owner,account_owner,card_owner,current_credit,email_shown,work_phone_shown,home_phone_shown,current_phone_shown,mobile_phone_shown,phone_work_same,phone_reg_same,reg_state,auto_number_shown,inn_number_shown,drvlic_number_shown,pension_number_shown,UCI,OL,child_adult,previous_score,default
nom,lin,lin,lin,lin,lin,nom,nom,lin,lin,bin,bin,nom,nom,lin,bin,lin,nom,bin,nom,lin,lin,nom,lin,bin,nom,nom,nom ,bin,bin,bin,nom,bin,bin,bin,bin,bin,bin,bin,bin,nom,bin,bin,bin,bin,lin,lin,bin,lin,bin
1,733662,75000,75000,5272,36,5,4,10,30,1,0,3,3,1,0,20,2,0,5,9,60,3,17400,1,1,1,2,0,0,1,1,1,0,1,1,1,1,0,0,16,0,1,0,1,5000,3920,0,35.15357143,0
1,733555,300000,300000,33600,36,2,2,10,30,1,1,2,3,1,0,69,2,0,4,33,27,18,65712,1,3,1,1,0,0,1,2,0,1,1,1,1,1,0,0,8,0,0,1,0,0,7800,0,51.3,0
1,733555,250000,400000,17487.5,60,2,1,18,30,0,0,2,4,1,0,84,4,0,5,12,24,11,33060,1,1,2,2,0,0,1,1,0,1,1,0,1,1,0,0,9,0,0,1,0,20000,10000,0,34.00595552,0
1,733555,63000,220000,35244,12,2,4,14,34,1,1,2,3,1,1,396,4,0,5,96,0,3,110000,2,1,3,1,0,1,1,1,1,0,1,0,1,1,0,0,8,1,0,0,0,0,20500,0,55.5195122,0
1,733555,143835,150000,5200,36,2,2,12,49,1,0,3,1,0,1,324,1,0,1,120,0,2,20000,1,1,1,2,0,0,0,1,1,0,1,1,1,1,0,0,8,0,0,0,1,0,1500,1,37.3,0
1,733551,250000,250000,12745,60,2,3,12,38,1,0,2,2,2,1,156,2,0,1,84,12,2,9000,1,3,1,1,1,0,0,2,0,0,1,1,1,1,0,0,8,0,0,0,1,63200,7900,0,42.09718004,0
3,733551,298102.5,429267.6,1325959.92,36,2,6,12,35,1,0,1,3,0,1,120,2,0,2,18,108,1,170000,1,3,1,1,0,1,1,3,0,0,1,1,1,1,0,0,8,0,0,1,0,0,19700,0,53.61472081,0
3,733554,201619.15,201619.15,952353.985,24,2,4,16,33,1,0,2,3,1,1,360,3,0,3,84,24,5,70000,2,2,2,1,0,1,1,3,1,0,1,1,1,1,0,0,8,0,0,1,0,60000,19000,0,59.50769231,0
1,733554,200000,300000,25296.25,60,2,6,17,38,1,0,1,3,1,1,432,2,0,5,7,84,20,23000,1,3,1,2,0,0,1,2,0,0,1,0,0,1,0,0,9,0,0,1,0,67000,2500,0,42.04,0
1,733722,100000,100000,3250.8,60,7,6,13,46,0,0,2,2,2,1,132,2,0,1,43,220,4,14477,1,1,1,2,0,0,1,2,0,0,1,0,0,1,0,0,3,0,0,0,1,3200,2000,0,47.21461988,0
1,733556,300000,500000,33180,60,2,6,12,51,0,1,2,3,0,1,290,4,0,5,52,36,19,60000,2,3,1,2,0,0,0,1,0,0,1,1,1,1,0,0,8,0,0,1,0,0,2500,1,48.3,0
1,733555,300000,500000,10680,60,2,2,13,49,0,1,2,3,1,1,168,3,0,1,360,0,2,26000,1,2,1,1,1,0,1,2,0,0,1,1,1,1,0,0,8,0,0,1,0,2000,6800,0,48.97142857,0
3,733551,119164,119164,85798.08,48,2,3,15,29,1,1,1,2,0,1,324,2,1,5,12,27,20,40000,2,2,1,2,0,0,0,1,0,1,1,1,1,1,0,0,9,0,1,0,0,0,26000,0,34.3,0
1,733554,40000,40000,51000,12,2,6,12,35,1,0,3,4,0,1,240,3,0,2,14,5,24,85000,1,2,1,1,0,0,1,2,1,1,1,1,1,1,0,0,8,0,0,1,0,0,3700,1,54.11081081,0
1,733555,40000,40000,4310,60,2,6,17,49,0,0,2,3,0,1,208,2,0,4,207,1,1,19000,1,2,1,2,0,0,1,2,1,0,1,1,1,1,0,0,17,1,0,0,1,0,8220,1,60.42408759,0
1,733555,300000,300000,27648,36,2,3,16,26,1,0,1,3,0,0,12,3,1,5,12,18,23,130000,1,1,1,2,0,0,1,3,0,0,1,1,1,1,0,0,9,0,0,1,0,0,60000,0,43.8,0
1,733663,71800,300000,1902.5,60,7,4,13,41,0,1,2,2,0,1,60,2,0,5,22,15,21,30450,1,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,3,0,0,1,0,0,9800,0,36.15714286,0
1,733668,82000,180000,2129.2,60,2,3,13,41,0,1,2,3,1,0,84,1,0,1,62,0,2,16373,1,1,1,1,0,0,1,2,0,0,1,1,0,1,1,0,8,0,0,1,0,0,4000,0,43.3,0
1,733670,250000,250000,26710,36,2,6,18,38,1,0,2,1,2,0,132,3,1,5,168,0,20,52200,2,2,1,2,0,0,1,2,0,0,1,0,1,1,0,0,8,1,0,0,0,0,4000,0,42.3,0
1,733660,500000,1000000,28190.47109,60,2,2,14,52,1,1,2,3,0,1,180,4,0,6,204,33,20,250000,2,3,1,2,0,0,1,3,1,0,1,1,1,1,0,0,8,1,0,0,1,0,61000,1,57.84098361,0
